index,selected_model,selected_model_chaos,predicted,actual
166,xgboost,0.0,5,5
167,xgboost,0.0,0,0
168,xgboost,0.0,4,4
169,xgboost,0.0,1,4
170,xgboost,0.0,2,2
171,xgboost,0.0,1,1
172,xgboost,0.0,0,0
173,xgboost,0.0,4,3
174,xgboost,0.0,5,5
175,xgboost,0.0,0,0
176,xgboost,0.0,3,3
177,xgboost,0.0,5,4
178,xgboost,0.0,2,2
179,xgboost,0.0,5,5
180,xgboost,0.0,5,5
181,xgboost,0.0,0,0
182,xgboost,0.0,1,1
183,xgboost,0.0,3,3
184,xgboost,0.0,2,2
185,xgboost,0.0,2,2
186,xgboost,0.0,1,0
187,xgboost,0.0,1,1
188,xgboost,0.0,1,1
189,xgboost,0.0,1,1
190,xgboost,0.0,5,5
191,xgboost,0.0,3,3
192,xgboost,0.0,3,3
193,xgboost,0.0,0,0
194,xgboost,0.0,4,4
195,xgboost,0.0,5,0
196,xgboost,0.0,3,3
197,xgboost,0.0,5,5
198,xgboost,0.0,2,0
199,xgboost,0.0,4,4
200,xgboost,0.0,2,2
201,xgboost,0.0,0,0
202,xgboost,0.0,1,1
203,xgboost,0.0,4,4
204,xgboost,0.0,1,1
205,xgboost,0.0,4,5
206,xgboost,0.0,3,3
207,xgboost,0.0,0,0
208,xgboost,0.0,0,0
209,xgboost,0.0,3,1
210,xgboost,0.0,1,1
211,xgboost,0.0,3,3
212,xgboost,0.0,0,0
213,xgboost,0.0,3,3
214,xgboost,0.0,1,1
215,xgboost,0.0,2,2
216,xgboost,0.0,1,1
217,xgboost,0.0,4,4
218,xgboost,0.0,1,1
219,xgboost,0.0,1,1
220,xgboost,0.0,2,2
221,xgboost,0.0,3,3
222,xgboost,0.0,4,4
223,xgboost,0.0,4,4
224,xgboost,0.0,1,0
225,xgboost,0.0,2,2
226,xgboost,0.0,1,5
227,xgboost,0.0,0,0
228,xgboost,0.0,0,0
229,xgboost,0.0,0,0
230,xgboost,0.0,4,4
231,xgboost,0.0,3,3
232,xgboost,0.0,1,1
233,xgboost,0.0,2,4
234,xgboost,0.0,1,1
235,xgboost,0.0,1,1
236,xgboost,0.0,0,5
237,xgboost,0.0,0,0
238,xgboost,0.0,3,5
239,xgboost,0.0,2,0
240,xgboost,0.0,4,4
241,xgboost,0.0,5,1
242,xgboost,0.0,5,5
243,xgboost,0.0,2,2
244,xgboost,0.0,5,4
245,xgboost,0.0,4,4
246,xgboost,0.0,0,2
247,xgboost,0.0,0,0
248,xgboost,0.0,1,1
249,xgboost,0.0,1,0
250,xgboost,0.0,0,0
251,xgboost,0.0,4,4
252,xgboost,0.0,0,0
253,xgboost,0.0,3,3
254,xgboost,0.0,2,2
255,xgboost,0.0,2,2
256,xgboost,0.0,1,1
257,xgboost,0.0,2,2
258,xgboost,0.0,0,0
259,xgboost,0.0,0,0
260,xgboost,0.0,0,5
261,xgboost,0.0,1,1
262,xgboost,0.0,0,1
263,xgboost,0.0,2,2
264,xgboost,0.0,0,0
265,xgboost,0.0,3,3
266,xgboost,0.0,5,5
267,xgboost,0.0,3,3
268,xgboost,0.0,0,0
269,xgboost,0.0,1,1
270,xgboost,0.0,1,1
271,xgboost,0.0,3,3
272,xgboost,0.0,4,4
273,xgboost,0.0,0,0
274,xgboost,0.0,1,1
275,xgboost,0.0,2,2
276,xgboost,0.0,5,4
277,xgboost,0.0,1,1
278,xgboost,0.0,2,2
279,xgboost,0.0,1,1
280,xgboost,0.0,3,4
281,xgboost,0.0,1,3
282,xgboost,0.0,0,0
283,xgboost,0.0,4,4
284,xgboost,0.0,3,4
285,xgboost,0.0,1,1
286,xgboost,0.0,2,2
287,xgboost,0.0,3,4
288,xgboost,0.0,0,0
289,xgboost,0.0,3,3
290,xgboost,0.0,2,2
291,xgboost,0.0,3,3
292,xgboost,0.0,3,3
293,xgboost,0.0,0,0
294,xgboost,0.0,1,1
295,xgboost,0.0,2,2
296,xgboost,0.0,2,2
297,xgboost,0.0,5,0
298,xgboost,0.0,2,2
299,xgboost,0.0,0,4
300,xgboost,0.0,4,5
301,xgboost,0.0,0,5
302,xgboost,0.0,3,5
303,xgboost,0.0,3,3
304,xgboost,0.0,2,2
305,xgboost,0.0,0,0
306,xgboost,0.0,2,2
307,xgboost,0.0,0,0
308,xgboost,0.0,2,2
309,xgboost,0.0,0,3
310,xgboost,0.0,4,4
311,xgboost,0.0,5,5
312,xgboost,0.0,5,5
313,xgboost,0.0,2,2
314,xgboost,0.0,5,3
315,xgboost,0.0,2,5
316,xgboost,0.0,2,2
317,xgboost,0.0,1,1
318,xgboost,0.0,0,2
319,xgboost,0.0,0,0
320,xgboost,0.0,5,5
321,xgboost,0.0,5,5
322,xgboost,0.0,1,1
323,xgboost,0.0,4,4
324,xgboost,0.0,2,2
325,xgboost,0.0,0,4
326,xgboost,0.0,3,2
327,xgboost,0.0,1,1
328,xgboost,0.0,4,4
329,xgboost,0.0,4,3
330,xgboost,0.0,1,1
331,xgboost,0.0,2,2
332,xgboost,0.0,0,0
333,xgboost,0.0,0,0
334,xgboost,0.0,2,0
335,xgboost,0.0,2,2
336,xgboost,0.0,3,5
337,xgboost,0.0,3,1
338,xgboost,0.0,1,1
339,xgboost,0.0,4,4
340,xgboost,0.0,1,1
341,xgboost,0.0,2,1
342,xgboost,0.0,4,4
343,xgboost,0.0,1,1
344,xgboost,0.0,1,1
345,xgboost,0.0,3,3
346,xgboost,0.0,2,2
347,xgboost,0.0,3,4
348,xgboost,0.0,1,3
349,xgboost,0.0,0,5
350,xgboost,0.0,4,4
351,xgboost,0.0,0,2
352,xgboost,0.0,4,1
353,xgboost,0.0,1,1
354,xgboost,0.0,2,3
355,xgboost,0.0,3,3
356,xgboost,0.0,0,5
357,xgboost,0.0,5,5
358,xgboost,0.0,3,2
359,xgboost,0.0,2,1
360,xgboost,0.0,0,0
361,xgboost,0.0,5,5
362,xgboost,0.0,1,1
363,xgboost,0.0,0,5
364,xgboost,0.0,5,4
365,xgboost,0.0,3,3
366,xgboost,0.0,1,1
367,xgboost,0.0,5,5
368,xgboost,0.0,3,3
369,xgboost,0.0,2,0
370,xgboost,0.0,5,5
371,xgboost,0.0,3,1
372,xgboost,0.0,4,4
373,xgboost,0.0,5,3
374,xgboost,0.0,3,3
375,xgboost,0.0,0,4
376,xgboost,0.0,1,1
377,xgboost,0.0,4,2
378,xgboost,0.0,0,0
379,xgboost,0.0,2,2
380,xgboost,0.0,4,4
381,xgboost,0.0,0,0
382,xgboost,0.0,1,1
383,xgboost,0.0,4,5
384,xgboost,0.0,5,5
385,xgboost,0.0,2,2
386,xgboost,0.0,1,1
387,xgboost,0.0,0,0
388,xgboost,0.0,2,2
389,xgboost,0.0,4,4
390,xgboost,0.0,2,2
391,xgboost,0.0,1,1
392,xgboost,0.0,0,1
393,xgboost,0.0,5,5
394,xgboost,0.0,4,4
395,xgboost,0.0,5,5
396,xgboost,0.0,3,0
397,xgboost,0.0,2,0
398,xgboost,0.0,3,3
399,xgboost,0.0,1,1
400,xgboost,0.0,5,4
401,xgboost,0.0,1,4
402,xgboost,0.0,2,5
403,xgboost,0.0,2,2
404,xgboost,0.0,2,2
405,xgboost,0.0,5,5
406,xgboost,0.0,1,2
407,xgboost,0.0,2,4
408,xgboost,0.0,4,5
409,xgboost,0.0,2,2
410,xgboost,0.0,3,3
411,xgboost,0.0,1,1
412,xgboost,0.0,3,3
413,xgboost,0.0,0,2
414,xgboost,0.0,0,0
415,xgboost,0.0,4,4
416,xgboost,0.0,1,3
417,xgboost,0.0,2,3
418,xgboost,0.0,5,5
419,xgboost,0.0,5,5
420,xgboost,0.0,5,5
421,xgboost,0.0,2,2
422,xgboost,0.0,0,0
423,xgboost,0.0,3,3
424,xgboost,0.0,0,1
425,xgboost,0.0,5,5
426,xgboost,0.0,0,0
427,xgboost,0.0,2,2
428,xgboost,0.0,0,0
429,xgboost,0.0,4,5
430,xgboost,0.0,4,4
431,xgboost,0.0,3,3
432,xgboost,0.0,1,5
433,xgboost,0.0,1,1
434,xgboost,0.0,3,3
435,xgboost,0.0,0,0
436,xgboost,0.0,1,1
437,xgboost,0.0,3,3
438,xgboost,0.0,4,1
439,xgboost,0.0,0,0
440,xgboost,0.0,0,5
441,xgboost,0.0,5,1
442,xgboost,0.0,5,5
443,xgboost,0.0,0,0
444,xgboost,0.0,5,0
445,xgboost,0.0,1,1
446,xgboost,0.0,1,1
447,xgboost,0.0,5,0
448,xgboost,0.0,1,1
449,xgboost,0.0,1,1
450,xgboost,0.0,0,1
451,xgboost,0.0,2,2
452,xgboost,0.0,1,1
453,xgboost,0.0,3,3
454,xgboost,0.0,0,0
455,xgboost,0.0,0,0
456,xgboost,0.0,4,4
457,xgboost,0.0,2,5
458,xgboost,0.0,4,4
459,xgboost,0.0,1,1
460,xgboost,0.0,1,1
461,xgboost,0.0,2,3
462,xgboost,0.0,3,3
463,xgboost,0.0,3,3
464,xgboost,0.0,3,3
465,xgboost,0.0,3,3
466,xgboost,0.0,3,3
467,xgboost,0.0,3,3
468,xgboost,0.0,3,3
469,xgboost,0.0,3,2
470,xgboost,0.0,3,3
471,xgboost,0.0,0,0
472,xgboost,0.0,3,3
473,xgboost,0.0,1,5
474,xgboost,0.0,0,3
475,xgboost,0.0,2,2
476,xgboost,0.0,1,1
477,xgboost,0.0,2,2
478,xgboost,0.0,2,2
479,xgboost,0.0,1,1
480,xgboost,0.0,3,3
481,xgboost,0.0,1,3
482,xgboost,0.0,0,1
483,xgboost,0.0,5,5
484,xgboost,0.0,4,4
485,xgboost,0.0,0,0
486,xgboost,0.0,1,1
487,xgboost,0.0,3,3
488,xgboost,0.0,5,0
489,xgboost,0.0,3,3
490,xgboost,0.0,4,4
491,xgboost,0.0,0,4
492,xgboost,0.0,1,1
493,xgboost,0.0,0,0
494,xgboost,0.0,2,2
495,xgboost,0.0,2,0
496,xgboost,0.0,2,2
497,xgboost,0.0,2,4
498,xgboost,0.0,3,3
499,xgboost,0.0,2,2
500,xgboost,0.0,2,2
501,xgboost,0.0,5,1
502,xgboost,0.0,1,5
503,xgboost,0.0,4,4
504,xgboost,0.0,2,2
505,xgboost,0.0,4,4
506,xgboost,0.0,1,1
507,xgboost,0.0,3,3
508,xgboost,0.0,0,0
509,xgboost,0.0,4,4
510,xgboost,0.0,1,1
511,xgboost,0.0,1,1
512,xgboost,0.0,1,1
513,xgboost,0.0,4,0
514,xgboost,0.0,4,4
515,xgboost,0.0,2,2
516,xgboost,0.0,0,1
517,xgboost,0.0,0,0
518,xgboost,0.0,3,3
519,xgboost,0.0,0,5
520,xgboost,0.0,4,4
521,xgboost,0.0,3,0
522,xgboost,0.0,5,5
523,xgboost,0.0,5,5
524,xgboost,0.0,0,0
525,xgboost,0.0,2,2
526,xgboost,0.0,1,2
527,xgboost,0.0,0,0
528,xgboost,0.0,0,0
529,xgboost,0.0,1,1
530,xgboost,0.0,3,3
531,xgboost,0.0,2,2
532,xgboost,0.0,4,1
533,xgboost,0.0,5,5
534,xgboost,0.0,5,5
535,xgboost,0.0,5,5
536,xgboost,0.0,0,0
537,xgboost,0.0,4,4
538,xgboost,0.0,1,1
539,xgboost,0.0,0,4
540,xgboost,0.0,3,3
541,xgboost,0.0,5,3
542,xgboost,0.0,1,1
543,xgboost,0.0,5,5
544,xgboost,0.0,2,2
545,xgboost,0.0,1,3
546,xgboost,0.0,0,4
547,xgboost,0.0,4,4
548,xgboost,0.0,0,2
549,xgboost,0.0,0,0
550,xgboost,0.0,2,5
551,xgboost,0.0,0,0
552,xgboost,0.0,1,1
553,xgboost,0.0,3,3
554,xgboost,0.0,2,2
555,xgboost,0.0,2,2
556,xgboost,0.0,3,2
557,xgboost,0.0,4,0
558,xgboost,0.0,1,0
559,xgboost,0.0,1,1
560,xgboost,0.0,2,4
561,xgboost,0.0,4,4
562,xgboost,0.0,2,1
563,xgboost,0.0,2,2
564,xgboost,0.0,4,4
565,xgboost,0.0,1,1
566,xgboost,0.0,1,4
567,xgboost,0.0,5,1
568,xgboost,0.0,4,4
569,xgboost,0.0,2,2
570,xgboost,0.0,4,0
571,xgboost,0.0,0,0
572,xgboost,0.0,5,2
573,xgboost,0.0,1,4
574,xgboost,0.0,5,2
575,xgboost,0.0,1,1
576,xgboost,0.0,0,0
577,xgboost,0.0,3,3
578,xgboost,0.0,4,4
579,xgboost,0.0,3,3
580,xgboost,0.0,3,3
581,xgboost,0.0,5,5
582,xgboost,0.0,3,3
583,xgboost,0.0,3,3
584,xgboost,0.0,2,2
585,xgboost,0.0,5,5
586,xgboost,0.0,5,5
587,xgboost,0.0,5,5
588,xgboost,0.0,1,1
589,xgboost,0.0,5,5
590,xgboost,0.0,2,2
591,xgboost,0.0,1,1
592,xgboost,0.0,4,4
593,xgboost,0.0,1,1
594,xgboost,0.0,4,4
595,xgboost,0.0,5,5
596,xgboost,0.0,5,5
597,xgboost,0.0,4,4
598,xgboost,0.0,0,0
599,xgboost,0.0,4,2
600,xgboost,0.0,1,1
601,xgboost,0.0,2,2
602,xgboost,0.0,2,2
603,xgboost,0.0,3,3
604,xgboost,0.0,5,5
605,xgboost,0.0,1,1
606,xgboost,0.0,2,2
607,xgboost,0.0,1,1
608,xgboost,0.0,2,2
609,xgboost,0.0,1,5
610,xgboost,0.0,2,2
611,xgboost,0.0,4,4
612,xgboost,0.0,5,5
613,xgboost,0.0,4,1
614,xgboost,0.0,0,0
615,xgboost,0.0,3,2
616,xgboost,0.0,4,4
617,xgboost,0.0,5,5
618,xgboost,0.0,3,3
619,xgboost,0.0,5,5
620,xgboost,0.0,4,1
621,xgboost,0.0,1,1
622,xgboost,0.0,2,3
623,xgboost,0.0,4,4
624,xgboost,0.0,1,1
625,xgboost,0.0,0,4
626,xgboost,0.0,4,4
627,xgboost,0.0,5,5
628,xgboost,0.0,4,4
629,xgboost,0.0,2,2
630,xgboost,0.0,1,1
631,xgboost,0.0,1,1
632,xgboost,0.0,5,0
633,xgboost,0.0,5,4
634,xgboost,0.0,2,0
635,xgboost,0.0,4,5
636,xgboost,0.0,0,0
637,xgboost,0.0,4,4
638,xgboost,0.0,4,1
639,xgboost,0.0,5,5
640,xgboost,0.0,4,4
641,xgboost,0.0,5,5
642,xgboost,0.0,3,3
643,xgboost,0.0,0,4
644,xgboost,0.0,3,3
645,xgboost,0.0,0,0
646,xgboost,0.0,4,4
647,xgboost,0.0,3,3
648,xgboost,0.0,2,2
649,xgboost,0.0,0,1
650,xgboost,0.0,0,0
651,xgboost,0.0,0,4
652,xgboost,0.0,4,4
653,xgboost,0.0,1,1
654,xgboost,0.0,1,1
655,xgboost,0.0,3,3
656,xgboost,0.0,2,3
657,xgboost,0.0,3,3
658,xgboost,0.0,1,5
659,xgboost,0.0,0,0
660,xgboost,0.0,4,4
661,xgboost,0.0,0,0
662,xgboost,0.0,1,1
663,xgboost,0.0,4,2
664,xgboost,0.0,0,0
665,xgboost,0.0,0,0
666,xgboost,0.0,3,3
667,xgboost,0.0,3,1
668,xgboost,0.0,0,0
669,xgboost,0.0,4,4
670,xgboost,0.0,5,3
671,xgboost,0.0,0,0
672,xgboost,0.0,0,1
673,xgboost,0.0,2,2
674,xgboost,0.0,4,4
675,xgboost,0.0,2,2
676,xgboost,0.0,0,1
677,xgboost,0.0,2,1
678,xgboost,0.0,1,1
679,xgboost,0.0,2,2
680,xgboost,0.0,1,5
681,xgboost,0.0,4,4
682,xgboost,0.0,1,1
683,xgboost,0.0,5,5
684,xgboost,0.0,3,3
685,xgboost,0.0,5,5
686,xgboost,0.0,4,3
687,xgboost,0.0,2,2
688,xgboost,0.0,1,5
689,xgboost,0.0,0,2
690,xgboost,0.0,5,1
691,xgboost,0.0,5,5
692,xgboost,0.0,5,5
693,xgboost,0.0,1,1
694,xgboost,0.0,3,3
695,xgboost,0.0,0,1
696,xgboost,0.0,4,4
697,xgboost,0.0,5,5
698,xgboost,0.0,0,4
699,xgboost,0.0,4,1
700,xgboost,0.0,2,2
701,xgboost,0.0,1,1
702,xgboost,0.0,0,0
703,xgboost,0.0,0,4
704,xgboost,0.0,0,0
705,xgboost,0.0,4,4
706,xgboost,0.0,4,2
707,xgboost,0.0,0,0
708,xgboost,0.0,0,0
709,xgboost,0.0,1,4
710,xgboost,0.0,1,1
711,xgboost,0.0,3,3
712,xgboost,0.0,5,1
713,xgboost,0.0,5,3
714,xgboost,0.0,4,4
715,xgboost,0.0,5,5
716,xgboost,0.0,1,1
717,xgboost,0.0,0,0
718,xgboost,0.0,1,1
719,xgboost,0.0,5,4
720,xgboost,0.0,0,5
721,xgboost,0.0,4,5
722,xgboost,0.0,3,1
723,xgboost,0.0,1,1
724,xgboost,0.0,2,2
725,xgboost,0.0,1,1
726,xgboost,0.0,1,4
727,xgboost,0.0,3,3
728,xgboost,0.0,2,2
729,xgboost,0.0,2,3
730,xgboost,0.0,1,0
731,xgboost,0.0,4,4
732,xgboost,0.0,5,2
733,xgboost,0.0,5,5
734,xgboost,0.0,0,2
735,xgboost,0.0,0,0
736,xgboost,0.0,5,5
737,xgboost,0.0,0,2
738,xgboost,0.0,5,5
739,xgboost,0.0,1,1
740,xgboost,0.0,5,5
741,xgboost,0.0,2,2
742,xgboost,0.0,5,5
743,xgboost,0.0,4,4
744,xgboost,0.0,1,1
745,xgboost,0.0,1,1
746,xgboost,0.0,2,0
747,xgboost,0.0,1,1
748,xgboost,0.0,1,3
749,xgboost,0.0,4,4
750,xgboost,0.0,4,0
751,xgboost,0.0,2,3
752,xgboost,0.0,5,5
753,xgboost,0.0,3,3
754,xgboost,0.0,0,0
755,xgboost,0.0,2,1
756,xgboost,0.0,2,4
757,xgboost,0.0,0,0
758,xgboost,0.0,1,3
759,xgboost,0.0,2,3
760,xgboost,0.0,0,0
761,xgboost,0.0,2,2
762,xgboost,0.0,0,2
763,xgboost,0.0,0,0
764,xgboost,0.0,3,2
765,xgboost,0.0,0,0
766,xgboost,0.0,0,1
767,xgboost,0.0,1,0
768,xgboost,0.0,5,5
769,xgboost,0.0,4,4
770,xgboost,0.0,0,4
771,xgboost,0.0,0,5
772,xgboost,0.0,0,3
773,xgboost,0.0,0,3
774,xgboost,0.0,0,3
775,xgboost,0.0,3,3
776,xgboost,0.0,1,1
777,xgboost,0.0,5,5
778,xgboost,0.0,0,4
779,xgboost,0.0,5,5
780,xgboost,0.0,4,4
781,xgboost,0.0,3,3
782,xgboost,0.0,1,1
783,xgboost,0.0,0,0
784,xgboost,0.0,0,0
785,xgboost,0.0,2,2
786,xgboost,0.0,3,3
787,xgboost,0.0,3,3
788,xgboost,0.0,0,5
789,xgboost,0.0,1,1
790,xgboost,0.0,1,1
791,xgboost,0.0,5,5
792,xgboost,0.0,1,1
793,xgboost,0.0,1,1
794,xgboost,0.0,0,0
795,xgboost,0.0,1,1
796,xgboost,0.0,2,3
797,xgboost,0.0,4,0
798,xgboost,0.0,0,3
799,xgboost,0.0,3,3
800,xgboost,0.0,0,5
801,xgboost,0.0,2,2
802,xgboost,0.0,5,1
803,xgboost,0.0,1,1
804,xgboost,0.0,5,1
805,xgboost,0.0,1,1
806,xgboost,0.0,0,0
807,xgboost,0.0,3,4
808,xgboost,0.0,3,3
809,xgboost,0.0,2,2
810,xgboost,0.0,2,2
811,xgboost,0.0,4,4
812,xgboost,0.0,4,4
813,xgboost,0.0,4,4
814,xgboost,0.0,0,0
815,xgboost,0.0,4,4
816,xgboost,0.0,0,0
817,xgboost,0.0,5,5
818,xgboost,0.0,5,5
819,xgboost,0.0,5,2
820,xgboost,0.0,1,5
821,xgboost,0.0,4,0
822,xgboost,0.0,0,0
823,xgboost,0.0,3,3
824,xgboost,0.0,4,4
825,xgboost,0.0,2,1
826,xgboost,0.0,3,1
827,xgboost,0.0,4,4
828,xgboost,0.0,1,1
829,xgboost,0.0,1,1
830,xgboost,0.0,1,1
831,xgboost,0.0,2,2
832,xgboost,0.0,0,0
833,xgboost,0.0,0,0
834,xgboost,0.0,0,0
835,xgboost,0.0,4,4
836,xgboost,0.0,4,5
837,xgboost,0.0,2,2
838,xgboost,0.0,4,2
839,xgboost,0.0,5,1
840,xgboost,0.0,3,3
841,xgboost,0.0,0,0
842,xgboost,0.0,2,2
843,xgboost,0.0,2,2
844,xgboost,0.0,3,3
845,xgboost,0.0,1,1
846,xgboost,0.0,1,2
847,xgboost,0.0,2,2
848,xgboost,0.0,5,5
849,xgboost,0.0,3,3
850,xgboost,0.0,1,1
851,xgboost,0.0,1,1
852,xgboost,0.0,0,0
853,xgboost,0.0,2,5
854,xgboost,0.0,1,1
855,xgboost,0.0,1,5
856,xgboost,0.0,0,0
857,xgboost,0.0,0,3
858,xgboost,0.0,2,2
859,xgboost,0.0,4,2
860,xgboost,0.0,4,4
861,xgboost,0.0,4,4
862,xgboost,0.0,4,4
863,xgboost,0.0,2,2
864,xgboost,0.0,0,5
865,xgboost,0.0,4,4
866,xgboost,0.0,3,3
867,xgboost,0.0,1,1
868,xgboost,0.0,5,5
869,xgboost,0.0,2,2
870,xgboost,0.0,3,3
871,xgboost,0.0,5,2
872,xgboost,0.0,5,5
873,xgboost,0.0,5,5
874,xgboost,0.0,0,5
875,xgboost,0.0,0,0
876,xgboost,0.0,1,1
877,xgboost,0.0,4,4
878,xgboost,0.0,0,0
879,xgboost,0.0,1,1
880,xgboost,0.0,2,2
881,xgboost,0.0,2,4
882,xgboost,0.0,0,0
883,xgboost,0.0,0,0
884,xgboost,0.0,3,3
885,xgboost,0.0,0,0
886,xgboost,0.0,5,5
887,xgboost,0.0,2,2
888,xgboost,0.0,0,0
889,xgboost,0.0,0,5
890,xgboost,0.0,1,1
891,xgboost,0.0,1,1
892,xgboost,0.0,5,5
893,xgboost,0.0,3,3
894,xgboost,0.0,5,3
895,xgboost,0.0,1,1
896,xgboost,0.0,2,2
897,xgboost,0.0,0,0
898,xgboost,0.0,1,1
899,xgboost,0.0,1,1
900,xgboost,0.0,0,5
901,xgboost,0.0,3,3
902,xgboost,0.0,0,2
903,xgboost,0.0,2,5
904,xgboost,0.0,1,1
905,xgboost,0.0,4,4
906,xgboost,0.0,0,0
907,xgboost,0.0,1,1
908,xgboost,0.0,5,5
909,xgboost,0.0,4,4
910,xgboost,0.0,4,4
911,xgboost,0.0,4,1
912,xgboost,0.0,2,2
913,xgboost,0.0,3,3
914,xgboost,0.0,4,4
915,xgboost,0.0,4,0
916,xgboost,0.0,5,5
917,xgboost,0.0,5,5
918,xgboost,0.0,5,5
919,xgboost,0.0,1,1
920,xgboost,0.0,5,5
921,xgboost,0.0,5,5
922,xgboost,0.0,0,0
923,xgboost,0.0,3,3
924,xgboost,0.0,5,2
925,xgboost,0.0,0,1
926,xgboost,0.0,0,1
927,xgboost,0.0,5,5
928,xgboost,0.0,4,0
929,xgboost,0.0,4,4
